row_index,job_id,job_role
0,54433761,인사/노무
1,54320096,인사/노무
2,54394399,인사/노무
3,54444259,인사/노무
4,54319236,인사/노무
5,54377746,인사/노무
6,54447052,인사/노무
7,54403261,인사/노무
8,54445789,인사/노무
9,54324344,인사/노무
10,54351395,개발
11,54365174,인사/노무
12,54364237,인사/노무
13,54407648,인사/노무
14,53958995,인사/노무
15,54416974,개발
16,54278146,인사/노무
17,54278846,인사/노무
18,54441283,인사/노무
19,54409699,인사/노무
20,54453031,인사/노무
21,54452978,인사/노무
22,54421473,인사/노무
23,54416519,인사/노무
24,54431809,인사/노무
25,54452784,인사/노무
26,54430833,인사/노무
27,54452520,인사/노무
28,54452240,인사/노무
29,54452037,인사/노무
30,54451779,인사/노무
31,54451540,인사/노무
32,54451253,인사/노무
33,54358044,인사/노무
34,54451130,인사/노무
35,54450994,회계/재무
36,54312158,인사/노무
37,54428907,인사/노무
38,54391942,인사/노무
39,54351049,회계/재무
40,54419703,인사/노무
41,54362019,회계/재무
42,54350643,인사/노무
43,54448595,인사/노무
44,54448421,인사/노무
45,54448369,인사/노무
46,54347390,인사/노무
47,54447594,마케팅
48,54447464,인사/노무
49,54447461,인사/노무
50,54447372,인사/노무
51,54447361,인사/노무
52,54447279,회계/재무
53,54446965,인사/노무
54,54446812,인사/노무
55,54371151,인사/노무
56,54446101,인사/노무
57,54323054,회계/재무
58,54445452,인사/노무
59,54418830,개발
60,54445166,인사/노무
61,54445132,인사/노무
62,54445108,인사/노무
63,54445069,인사/노무
64,54389725,인사/노무
65,54375398,인사/노무
66,54346164,인사/노무
67,54444247,인사/노무
68,54444190,인사/노무
69,54444143,인사/노무
70,54389609,인사/노무
71,54443975,인사/노무
72,54429112,회계/재무
73,54443597,인사/노무
74,54443544,인사/노무
75,54443441,인사/노무
76,54331225,인사/노무
77,54443346,인사/노무
78,54409469,인사/노무
79,54202489,인사/노무
80,54442349,인사/노무
81,54252990,인사/노무
82,54442120,인사/노무
83,54442107,인사/노무
84,54442105,인사/노무
85,54442086,인사/노무
86,54374045,인사/노무
87,54441971,회계/재무
88,54319796,인사/노무
89,53633999,인사/노무
90,54417292,인사/노무
91,54439223,인사/노무
92,54410954,회계/재무
93,54374122,인사/노무
94,54373101,인사/노무
95,54373384,인사/노무
96,54441158,인사/노무
97,54441048,인사/노무
98,54398583,인사/노무
99,54440758,인사/노무
100,54440500,인사/노무
101,54440431,인사/노무
102,54427527,인사/노무
103,54360826,인사/노무
104,54429181,인사/노무
105,54416283,인사/노무
106,54439647,인사/노무
107,54439440,인사/노무
108,54295540,인사/노무
109,54438904,인사/노무
110,54438901,인사/노무
111,54438899,인사/노무
112,54438363,인사/노무
113,54438309,인사/노무
114,54438197,인사/노무
115,54306200,인사/노무
116,54434714,인사/노무
117,54434594,인사/노무
118,54398308,인사/노무
119,54434315,인사/노무
120,54433721,인사/노무
121,54433652,인사/노무
122,54433621,인사/노무
123,54110337,인사/노무
124,54350687,인사/노무
125,54306956,인사/노무
126,54395862,인사/노무
127,54046423,인사/노무
128,54432867,인사/노무
129,54333653,인사/노무
130,54432634,인사/노무
131,54432334,인사/노무
132,54432218,인사/노무
133,54432113,인사/노무
134,54174239,인사/노무
135,54431546,인사/노무
136,54431434,회계/재무
137,53832536,인사/노무
138,54430644,인사/노무
139,54430451,인사/노무
140,54430135,인사/노무
141,54417115,인사/노무
142,54430035,인사/노무
143,54429914,인사/노무
144,54429633,인사/노무
145,54429631,인사/노무
146,54429594,인사/노무
147,54429477,인사/노무
148,54378985,회계/재무
149,54429282,회계/재무
150,54429095,인사/노무
151,54429094,인사/노무
152,54364128,인사/노무
153,54428901,인사/노무
154,54428760,인사/노무
155,54428505,인사/노무
156,54428343,인사/노무
157,54319519,인사/노무
158,54427731,인사/노무
159,54427678,인사/노무
160,54427641,인사/노무
161,54417500,인사/노무
162,54225865,인사/노무
163,54354026,인사/노무
164,54013460,인사/노무
165,54395705,인사/노무
166,54422646,인사/노무
167,54422156,인사/노무
168,54421997,인사/노무
169,54421536,인사/노무
170,54307028,기획/전략
171,54421191,인사/노무
172,54394932,인사/노무
173,54407684,인사/노무
174,54389294,인사/노무
175,54385430,인사/노무
176,54419421,인사/노무
177,54419412,인사/노무
178,54288834,인사/노무
179,54376653,인사/노무
180,54310197,회계/재무
181,54418736,인사/노무
182,54418621,마케팅
183,54418596,인사/노무
184,54418160,인사/노무
185,54417913,인사/노무
186,54417801,인사/노무
187,54417630,인사/노무
188,54396440,회계/재무
189,54350713,회계/재무
190,54416500,인사/노무
191,54416499,인사/노무
192,54409628,인사/노무
193,54336720,인사/노무
194,54416250,인사/노무
195,54415678,인사/노무
196,54407700,인사/노무
197,54414927,인사/노무
198,54337086,인사/노무
199,54414882,인사/노무
200,54389572,인사/노무
201,54414322,인사/노무
202,54397492,회계/재무
203,54336641,인사/노무
204,54321737,인사/노무
205,54410253,회계/재무
206,54243539,회계/재무
207,54409965,인사/노무
208,54353319,회계/재무
209,54409180,인사/노무
210,54408824,인사/노무
211,54408614,인사/노무
212,54408281,인사/노무
213,54408020,인사/노무
214,54408004,회계/재무
215,54258785,인사/노무
216,54407600,인사/노무
217,54384780,인사/노무
218,54407426,회계/재무
219,54407350,인사/노무
220,54407082,개발
221,54406815,인사/노무
222,54406638,인사/노무
223,54406449,인사/노무
224,54406191,인사/노무
225,54384237,인사/노무
226,54406083,인사/노무
227,54359396,인사/노무
228,54406073,인사/노무
229,54405695,회계/재무
230,54405547,인사/노무
231,54332054,인사/노무
232,54353292,인사/노무
233,54404124,회계/재무
234,54404071,인사/노무
235,54404025,인사/노무
236,54404015,인사/노무
237,54255533,회계/재무
238,54393853,인사/노무
239,54397791,인사/노무
240,54397408,인사/노무
241,54397267,인사/노무
242,54397237,인사/노무
243,54181490,회계/재무
244,54396051,인사/노무
245,54395913,인사/노무
246,54395571,인사/노무
247,54395430,인사/노무
248,54395041,인사/노무
249,54394780,인사/노무
250,54394229,인사/노무
251,54394075,인사/노무
252,54314879,인사/노무
253,54348586,기획/전략
254,54385621,회계/재무
255,54392706,인사/노무
256,54392169,인사/노무
257,54392124,인사/노무
258,54391617,인사/노무
259,54391548,인사/노무
260,54391408,인사/노무
261,54390926,인사/노무
262,54380670,인사/노무
263,54352331,인사/노무
264,54387040,인사/노무
265,54384254,인사/노무
266,54205060,인사/노무
267,54346836,인사/노무
268,54202709,인사/노무
269,54383571,인사/노무
270,54383472,회계/재무
271,54382853,회계/재무
272,54320379,인사/노무
273,54293211,인사/노무
274,54382244,회계/재무
275,54382075,인사/노무
276,54382058,인사/노무
277,54382001,인사/노무
278,54381689,인사/노무
279,54381616,인사/노무
