date,job_role,canonical_skill,demand_count,trend_ratio_base,trend_ratio_job_intent,blog_collected_count,cafe_collected_count,kin_collected_count,unique_document_count,weeks_observed,data_quality_flag
,기획/전략,영업/세일즈,254,,,20,20,20,60,0,BASE_EMPTY_RESULT;INTENT_EMPTY_RESULT
,기획/전략,프로젝트관리(PM),199,,,20,20,20,60,0,BASE_EMPTY_RESULT;INTENT_EMPTY_RESULT
2025-12-29,기획/전략,Excel,181,76.72371,,20,20,20,60,30,INTENT_EMPTY_RESULT
2026-01-05,기획/전략,Excel,181,97.45721,,20,20,20,60,30,INTENT_EMPTY_RESULT
2026-01-12,기획/전략,Excel,181,100.0,,20,20,20,60,30,INTENT_EMPTY_RESULT
2026-01-19,기획/전략,Excel,181,96.96821,,20,20,20,60,30,INTENT_EMPTY_RESULT
2026-01-26,기획/전략,Excel,181,94.37652,,20,20,20,60,30,INTENT_EMPTY_RESULT
2026-02-02,기획/전략,Excel,181,91.19804,,20,20,20,60,30,INTENT_EMPTY_RESULT
2026-02-09,기획/전략,Excel,181,86.16136,,20,20,20,60,30,INTENT_EMPTY_RESULT
2026-02-16,기획/전략,Excel,181,67.33496,,20,20,20,60,30,INTENT_EMPTY_RESULT
2026-02-23,기획/전략,Excel,181,82.15158,,20,20,20,60,30,INTENT_EMPTY_RESULT
2026-03-02,기획/전략,Excel,181,80.39119,,20,20,20,60,30,INTENT_EMPTY_RESULT
2026-03-09,기획/전략,Excel,181,87.04156,,20,20,20,60,30,INTENT_EMPTY_RESULT
2026-03-16,기획/전략,Excel,181,76.62591,,20,20,20,60,30,INTENT_EMPTY_RESULT
2026-03-23,기획/전략,Excel,181,81.12469,,20,20,20,60,30,INTENT_EMPTY_RESULT
2026-03-30,기획/전략,Excel,181,83.08068,,20,20,20,60,30,INTENT_EMPTY_RESULT
2026-04-06,기획/전략,Excel,181,77.31051,,20,20,20,60,30,INTENT_EMPTY_RESULT
2026-04-13,기획/전략,Excel,181,76.47921,,20,20,20,60,30,INTENT_EMPTY_RESULT
2026-04-20,기획/전략,Excel,181,75.35452,,20,20,20,60,30,INTENT_EMPTY_RESULT
2026-04-27,기획/전략,Excel,181,60.97799,,20,20,20,60,30,INTENT_EMPTY_RESULT
2026-05-04,기획/전략,Excel,181,59.511,,20,20,20,60,30,INTENT_EMPTY_RESULT
2026-05-11,기획/전략,Excel,181,61.85819,,20,20,20,60,30,INTENT_EMPTY_RESULT
2026-05-18,기획/전략,Excel,181,62.20048,,20,20,20,60,30,INTENT_EMPTY_RESULT
2026-05-25,기획/전략,Excel,181,64.35207,,20,20,20,60,30,INTENT_EMPTY_RESULT
2026-06-01,기획/전략,Excel,181,86.16136,,20,20,20,60,30,INTENT_EMPTY_RESULT
2026-06-08,기획/전략,Excel,181,96.23471,,20,20,20,60,30,INTENT_EMPTY_RESULT
2026-06-15,기획/전략,Excel,181,81.80929,,20,20,20,60,30,INTENT_EMPTY_RESULT
2026-06-22,기획/전략,Excel,181,79.4132,,20,20,20,60,30,INTENT_EMPTY_RESULT
2026-06-29,기획/전략,Excel,181,68.36185,,20,20,20,60,30,INTENT_EMPTY_RESULT
2026-07-06,기획/전략,Excel,181,69.92665,,20,20,20,60,30,INTENT_EMPTY_RESULT
2026-07-13,기획/전략,Excel,181,64.98777,,20,20,20,60,30,INTENT_EMPTY_RESULT
2026-07-20,기획/전략,Excel,181,53.64303,,20,20,20,60,30,INTENT_EMPTY_RESULT
,기획/전략,인사(HR),104,,,20,20,20,60,0,BASE_EMPTY_RESULT;INTENT_EMPTY_RESULT
2025-12-29,기획/전략,PPT,95,64.26935,,20,20,20,60,30,INTENT_EMPTY_RESULT
2026-01-05,기획/전략,PPT,95,70.72835,,20,20,20,60,30,INTENT_EMPTY_RESULT
2026-01-12,기획/전략,PPT,95,64.38387,,20,20,20,60,30,INTENT_EMPTY_RESULT
2026-01-19,기획/전략,PPT,95,60.765,,20,20,20,60,30,INTENT_EMPTY_RESULT
2026-01-26,기획/전략,PPT,95,60.51305,,20,20,20,60,30,INTENT_EMPTY_RESULT
2026-02-02,기획/전략,PPT,95,61.63536,,20,20,20,60,30,INTENT_EMPTY_RESULT
2026-02-09,기획/전략,PPT,95,53.38983,,20,20,20,60,30,INTENT_EMPTY_RESULT
2026-02-16,기획/전략,PPT,95,43.81584,,20,20,20,60,30,INTENT_EMPTY_RESULT
2026-02-23,기획/전략,PPT,95,58.29134,,20,20,20,60,30,INTENT_EMPTY_RESULT
2026-03-02,기획/전략,PPT,95,75.69857,,20,20,20,60,30,INTENT_EMPTY_RESULT
2026-03-09,기획/전략,PPT,95,95.48786,,20,20,20,60,30,INTENT_EMPTY_RESULT
2026-03-16,기획/전략,PPT,95,99.45029,,20,20,20,60,30,INTENT_EMPTY_RESULT
2026-03-23,기획/전략,PPT,95,96.47274,,20,20,20,60,30,INTENT_EMPTY_RESULT
2026-03-30,기획/전략,PPT,95,97.43472,,20,20,20,60,30,INTENT_EMPTY_RESULT
2026-04-06,기획/전략,PPT,95,98.44251,,20,20,20,60,30,INTENT_EMPTY_RESULT
2026-04-13,기획/전략,PPT,95,90.19697,,20,20,20,60,30,INTENT_EMPTY_RESULT
2026-04-20,기획/전략,PPT,95,78.88227,,20,20,20,60,30,INTENT_EMPTY_RESULT
2026-04-27,기획/전략,PPT,95,75.2863,,20,20,20,60,30,INTENT_EMPTY_RESULT
2026-05-04,기획/전략,PPT,95,85.82226,,20,20,20,60,30,INTENT_EMPTY_RESULT
2026-05-11,기획/전략,PPT,95,100.0,,20,20,20,60,30,INTENT_EMPTY_RESULT
2026-05-18,기획/전략,PPT,95,93.19743,,20,20,20,60,30,INTENT_EMPTY_RESULT
2026-05-25,기획/전략,PPT,95,87.95235,,20,20,20,60,30,INTENT_EMPTY_RESULT
2026-06-01,기획/전략,PPT,95,83.78378,,20,20,20,60,30,INTENT_EMPTY_RESULT
2026-06-08,기획/전략,PPT,95,83.18827,,20,20,20,60,30,INTENT_EMPTY_RESULT
