representative_keyword,total_document_count,blog_document_count,cafe_document_count,kin_document_count,unique_document_count,total_search_results,search_query_count
SQLD,190,65,55,70,190,107291,1
빅데이터분석기사,139,44,40,55,139,225158,1
정보보안기사,125,51,26,48,125,288047,1
리눅스마스터,117,41,13,63,117,157173,1
AWS Certified,107,30,30,47,107,6087,1
TOEIC Speaking,85,24,13,48,85,140077,1
TOEIC,80,30,14,36,80,699982,1
AWS,78,20,22,36,78,387979,1
영어회화,52,9,7,36,52,4309462,1
Kubernetes,51,1,10,40,51,31060,1
Java,50,11,9,30,50,2450830,1
SQL,49,17,14,18,49,843724,1
중국어,47,10,6,31,47,6913790,1
일본어,46,9,9,28,46,9140218,1
TypeScript,36,1,5,30,36,26172,1
RDBMS,31,0,16,15,31,31844,1
LLM,30,2,7,21,30,260767,1
React,21,1,8,12,21,237732,1
Python,21,4,3,14,21,598364,1
Node.js,20,3,4,13,20,102242,1
JavaScript,18,2,10,6,18,979113,1
Spring,17,2,0,15,17,1494447,1
Git,16,4,7,5,16,157452,1
API,14,1,0,13,14,1434689,1
Linux,13,1,5,7,13,462350,1
Boot,9,3,2,4,9,457159,1
Docker,7,0,0,7,7,66615,1
Code,7,0,3,4,7,4477504,1
Next,5,1,2,2,5,7725248,1
Claude,4,1,1,2,4,241903,1
REST,2,0,0,2,2,1242864,1
